% of respondents that “agree”,Opinion on products and services using AI,Year,Category,Country,% of respondents,Label,"% of respondents that ""Agree""",Statement,% agreeing with statement,pp. change,Response,Global opinions on the impact of AI on current jobs,Demographic group,Party,Policy
67%,I have a good understanding of what artificial intelligence is,2024.0,,,,,,,,,,,,,
52%,I know which types of products and services use artificial intelligence,2024.0,,,,,,,,,,,,,
50%,Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,2024.0,,,,,,,,,,,,,
66%,Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,2024.0,,,,,,,,,,,,,
55%,Products and services using artificial intelligence have more benefits than drawbacks,2024.0,,,,,,,,,,,,,
45%,I trust people not to discriminate or show bias toward any group of people,2024.0,,,,,,,,,,,,,
54%,I trust artificial intelligence to not discriminate or show bias toward any group of people,2024.0,,,,,,,,,,,,,
47%,I trust that companies that use artificial intelligence will protect my personal data,2024.0,,,,,,,,,,,,,
50%,Products and services using artificial intelligence make me nervous,2024.0,,,,,,,,,,,,,
67%,I have a good understanding of what artificial intelligence is,2023.0,,,,,,,,,,,,,
51%,I know which types of products and services use artificial intelligence,2023.0,,,,,,,,,,,,,
49%,Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,2023.0,,,,,,,,,,,,,
66%,Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,2023.0,,,,,,,,,,,,,
54%,Products and services using artificial intelligence have more benefits than drawbacks,2023.0,,,,,,,,,,,,,
56%,I trust artificial intelligence to not discriminate or show bias toward any group of people,2023.0,,,,,,,,,,,,,
50%,I trust that companies that use artificial intelligence will protect my personal data,2023.0,,,,,,,,,,,,,
52%,Products and services using artificial intelligence make me nervous,2023.0,,,,,,,,,,,,,
64%,I have a good understanding of what artificial intelligence is,2022.0,,,,,,,,,,,,,
50%,I know which types of products and services use artificial intelligence,2022.0,,,,,,,,,,,,,
49%,Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,2022.0,,,,,,,,,,,,,
60%,Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,2022.0,,,,,,,,,,,,,
52%,Products and services using artificial intelligence have more benefits than drawbacks,2022.0,,,,,,,,,,,,,
39%,Products and services using artificial intelligence make me nervous,2022.0,,,,,,,,,,,,,
,,,The job market,Global,31%,,,,,,,,,,
,,,My job,Global,37%,,,,,,,,,,
,,,The job market,China,44%,,,,,,,,,,
,,,My job,China,62%,,,,,,,,,,
,,,The job market,Indonesia,45%,,,,,,,,,,
,,,My job,Indonesia,59%,,,,,,,,,,
,,,The job market,Thailand,51%,,,,,,,,,,
,,,My job,Thailand,52%,,,,,,,,,,
,,,The job market,Singapore,34%,,,,,,,,,,
,,,My job,Singapore,39%,,,,,,,,,,
,,,The job market,India,48%,,,,,,,,,,
,,,My job,India,46%,,,,,,,,,,
,,,The job market,Mexico,52%,,,,,,,,,,
,,,My job,Mexico,51%,,,,,,,,,,
,,,The job market,South Africa,43%,,,,,,,,,,
,,,My job,South Africa,53%,,,,,,,,,,
,,,The job market,Peru,47%,,,,,,,,,,
,,,My job,Peru,57%,,,,,,,,,,
,,,The job market,Malaysia,38%,,,,,,,,,,
,,,My job,Malaysia,43%,,,,,,,,,,
,,,The job market,Brazil,41%,,,,,,,,,,
,,,My job,Brazil,46%,,,,,,,,,,
