Variable_1,Variable_2,Correlation,Abs_Correlation
estimated_revenue_increase_from_ai_trillions_usd_std_5,estimated_revenue_increase_from_ai_trillions_usd_diff_lag_2,1.0000000000000009,1.0000000000000009
estimated_revenue_increase_from_ai_trillions_usd_diff_lag_3,estimated_revenue_increase_from_ai_trillions_usd_volatility,1.0000000000000009,1.0000000000000009
estimated_revenue_increase_from_ai_trillions_usd_std_5,estimated_revenue_increase_from_ai_trillions_usd_diff_lag_3,1.0000000000000009,1.0000000000000009
estimated_revenue_increase_from_ai_trillions_usd_std_5,adoption_momentum,-1.0000000000000007,1.0000000000000007
estimated_revenue_increase_from_ai_trillions_usd_std_5,estimated_revenue_increase_from_ai_trillions_usd_diff_lag_1,1.0000000000000007,1.0000000000000007
estimated_revenue_increase_from_ai_trillions_usd_std_5,organizations_using_ai_diff_lag_3,1.0000000000000007,1.0000000000000007
estimated_revenue_increase_from_ai_trillions_usd_diff_lag_3,adoption_momentum,-1.0000000000000004,1.0000000000000004
estimated_revenue_increase_from_ai_trillions_usd_diff_lag_1,estimated_revenue_increase_from_ai_trillions_usd_diff_lag_2,1.0000000000000004,1.0000000000000004
estimated_new_jobs_created_by_ai_millions,estimated_revenue_increase_from_ai_trillions_usd_lag_3,1.0000000000000002,1.0000000000000002
estimated_revenue_increase_from_ai_trillions_usd_std_3,estimated_revenue_increase_from_ai_trillions_usd_std_5,1.0000000000000002,1.0000000000000002
estimated_revenue_increase_from_ai_trillions_usd_std_2,estimated_revenue_increase_from_ai_trillions_usd_diff_lag_2,1.0000000000000002,1.0000000000000002
companies_prioritizing_ai_in_strategy,estimated_revenue_increase_from_ai_trillions_usd_lag_3,1.0000000000000002,1.0000000000000002
adoption_momentum,estimated_revenue_increase_from_ai_trillions_usd_volatility,-1.0000000000000002,1.0000000000000002
organizations_believing_ai_provides_competitive_edge,estimated_revenue_increase_from_ai_trillions_usd_lag_3,1.0000000000000002,1.0000000000000002
estimated_revenue_increase_from_ai_trillions_usd_diff_lag_1,estimated_revenue_increase_from_ai_trillions_usd_volatility,1.0000000000000002,1.0000000000000002
organizations_using_ai_yoy_growth,organizations_using_ai_ratio_lag_1,1.0000000000000002,1.0000000000000002
marketers_believing_ai_improves_email_revenue,estimated_revenue_increase_from_ai_trillions_usd_lag_3,1.0000000000000002,1.0000000000000002
estimated_revenue_increase_from_ai_trillions_usd_diff_lag_1,adoption_momentum,-1.0000000000000002,1.0000000000000002
ai_software_revenue_in_billions_std_2,ai_software_revenue_in_billions_diff_lag_1,1.0000000000000002,1.0000000000000002
estimated_revenue_increase_from_ai_trillions_usd_band_position,estimated_revenue_increase_from_ai_trillions_usd_volatility,1.0000000000000002,1.0000000000000002
jobs_at_high_risk_of_automation__wholesale_&_retail_trade,estimated_revenue_increase_from_ai_trillions_usd_lag_3,1.0000000000000002,1.0000000000000002
year,estimated_revenue_increase_from_ai_trillions_usd_lag_3,1.0000000000000002,1.0000000000000002
jobs_at_high_risk_of_automation__manufacturing,estimated_revenue_increase_from_ai_trillions_usd_lag_3,1.0000000000000002,1.0000000000000002
organizations_using_ai_rolling_2y_growth,organizations_using_ai_ratio_lag_1,1.0000000000000002,1.0000000000000002
global_ai_market_value_in_billions_std_3,global_ai_market_value_in_billions_volatility,1.0,1.0
global_ai_market_value_in_billions_above_ma_2,organizations_using_ai_above_ma_2,1.0,1.0
year,years_since_start,1.0,1.0
year,cycle_position,1.0,1.0
estimated_jobs_eliminated_by_ai_millions,estimated_revenue_increase_from_ai_trillions_usd_lag_3,1.0,1.0
ai_software_revenue_in_billions_above_ma_5,organizations_using_ai_above_ma_5,1.0,1.0
americans_using_voice_assistants_%,estimated_revenue_increase_from_ai_trillions_usd_lag_2,1.0,1.0
estimated_revenue_increase_from_ai_trillions_usd,estimated_revenue_increase_from_ai_trillions_usd_cumulative_growth,1.0,1.0
estimated_revenue_increase_from_ai_trillions_usd_lag_1,years_since_start,1.0,1.0
estimated_revenue_increase_from_ai_trillions_usd_lag_1,cycle_position,1.0,1.0
ai_software_revenue_in_billions_above_ma_2,global_ai_market_value_in_billions_above_ma_2,1.0,1.0
ai_software_revenue_in_billions_above_ma_2,organizations_using_ai_above_ma_2,1.0,1.0
estimated_jobs_eliminated_by_ai_millions,americans_using_voice_assistants_%,1.0,1.0
estimated_jobs_eliminated_by_ai_millions,jobs_at_high_risk_of_automation__wholesale_&_retail_trade,1.0,1.0
estimated_revenue_increase_from_ai_trillions_usd_lag_1,estimated_revenue_increase_from_ai_trillions_usd_lag_2,1.0,1.0
global_ai_market_value_in_billions_above_ma_3,estimated_revenue_increase_from_ai_trillions_usd_above_ma_3,1.0,1.0
organizations_using_ai_above_ma_5,estimated_revenue_increase_from_ai_trillions_usd_above_ma_5,1.0,1.0
global_ai_market_value_in_billions_above_ma_2,estimated_revenue_increase_from_ai_trillions_usd_above_ma_2,1.0,1.0
ai_software_revenue_in_billions_above_ma_3,organizations_using_ai_above_ma_3,1.0,1.0
ai_software_revenue_in_billions_above_ma_3,global_ai_market_value_in_billions_above_ma_3,1.0,1.0
companies_prioritizing_ai_in_strategy,estimated_revenue_increase_from_ai_trillions_usd_lag_2,1.0,1.0
estimated_new_jobs_created_by_ai_millions,estimated_revenue_increase_from_ai_trillions_usd_lag_2,1.0,1.0
global_ai_market_value_in_billions_yoy_growth,global_ai_market_value_in_billions_rolling_2y_growth,1.0,1.0
estimated_revenue_increase_from_ai_trillions_usd_diff_lag_1,estimated_revenue_increase_from_ai_trillions_usd_band_position,1.0,1.0
estimated_revenue_increase_from_ai_trillions_usd_lag_1,estimated_revenue_increase_from_ai_trillions_usd_lag_3,1.0,1.0
estimated_revenue_increase_from_ai_trillions_usd_lag_1,net_job_impact,-1.0,1.0
americans_using_voice_assistants_%,estimated_revenue_increase_from_ai_trillions_usd_lag_3,1.0,1.0
global_ai_market_value_in_billions_above_ma_3,organizations_using_ai_above_ma_3,1.0,1.0
ai_software_revenue_in_billions_above_ma_2,estimated_revenue_increase_from_ai_trillions_usd_above_ma_2,1.0,1.0
estimated_jobs_eliminated_by_ai_millions,companies_prioritizing_ai_in_strategy,1.0,1.0
ai_software_revenue_in_billions_above_ma_3,estimated_revenue_increase_from_ai_trillions_usd_above_ma_3,1.0,1.0
estimated_revenue_increase_from_ai_trillions_usd_std_2,estimated_revenue_increase_from_ai_trillions_usd_volatility,1.0,1.0
organizations_using_ai_std_3,organizations_using_ai_volatility,1.0,1.0
estimated_revenue_increase_from_ai_trillions_usd_std_3,estimated_revenue_increase_from_ai_trillions_usd_volatility,1.0,1.0
estimated_revenue_increase_from_ai_trillions_usd_lag_2,cycle_position,1.0,1.0
organizations_using_ai,organizations_using_ai_zscore,1.0,1.0
estimated_revenue_increase_from_ai_trillions_usd_std_2,estimated_revenue_increase_from_ai_trillions_usd_std_3,1.0,1.0
estimated_revenue_increase_from_ai_trillions_usd_diff_lag_2,estimated_revenue_increase_from_ai_trillions_usd_volatility,1.0,1.0
estimated_revenue_increase_from_ai_trillions_usd_cumulative_growth,estimated_revenue_increase_from_ai_trillions_usd_zscore,1.0,1.0
companies_prioritizing_ai_in_strategy,americans_using_voice_assistants_%,1.0,1.0
global_ai_market_value_in_billions_above_ma_5,estimated_revenue_increase_from_ai_trillions_usd_above_ma_5,1.0,1.0
global_ai_market_value_in_billions_above_ma_5,organizations_using_ai_above_ma_5,1.0,1.0
estimated_revenue_increase_from_ai_trillions_usd_lag_2,years_since_start,1.0,1.0
global_ai_market_value_in_billions,global_ai_market_value_in_billions_cumulative_growth,1.0,1.0
jobs_at_high_risk_of_automation__manufacturing,estimated_revenue_increase_from_ai_trillions_usd_lag_2,1.0,1.0
jobs_at_high_risk_of_automation__manufacturing,estimated_revenue_increase_from_ai_trillions_usd_lag_1,1.0,1.0
estimated_revenue_increase_from_ai_trillions_usd_lag_2,net_job_impact,-1.0,1.0
ai_software_revenue_in_billions_above_ma_5,global_ai_market_value_in_billions_above_ma_5,1.0,1.0
estimated_new_jobs_created_by_ai_millions,estimated_revenue_increase_from_ai_trillions_usd_lag_1,1.0,1.0
